Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,19,19.10000038,17.14999962,17.25,17.25,10022500
2021-01-05,17.35000038,18.07999992,17.22999954,17.37000084,17.37000084,4961500
2021-01-06,17.34000015,18.97999954,17.32999992,18.36000061,18.36000061,6056200
2021-01-07,18.46999931,19.45000076,18.02000046,18.07999992,18.07999992,6129300
2021-01-08,18.18000031,18.29999924,17.07999992,17.69000053,17.69000053,6482000
2021-01-11,19.40999985,20.64999962,19.01000023,19.94000053,19.94000053,14927600
2021-01-12,19.95999908,20.39999962,19.31999969,19.95000076,19.95000076,7060700
2021-01-13,20.42000008,38.65000153,20.03000069,31.39999962,31.39999962,144501700
2021-01-14,38.09000015,43.06000137,33.04999924,39.90999985,39.90999985,93717400
2021-01-15,38.49000168,40.75,34.00999832,35.5,35.5,46866400
2021-01-19,41.54999924,45.52000046,36.63999939,39.36000061,39.36000061,74721900
2021-01-20,37.36999893,41.18999863,36.06000137,39.11999893,39.11999893,33471800
2021-01-21,39.22999954,44.75,37,43.02999878,43.02999878,57079800
2021-01-22,42.59000015,76.76000214,42.31999969,65.01000214,65.01000214,197157900
2021-01-25,96.73000336,159.1799927,61.13000107,76.79000092,76.79000092,177874000
2021-01-26,88.55999756,150,80.19999695,147.9799957,147.9799957,178588000
2021-01-27,354.8299866,380,249,347.5100098,347.5100098,93396700
2021-01-28,265,483,112.25,193.6000061,193.6000061,58815800
2021-01-29,379.7099915,413.980011,250,325,325,50259200
2021-02-01,316.5599976,322,212,225,225,37382200
2021-02-02,140.7599945,158,74.22000122,90,90,78183100
2021-02-03,112.0100021,113.4000015,85.25,92.41000366,92.41000366,42698500
2021-02-04,91.19000244,91.5,53.33000183,53.5,53.5,62427300
2021-02-05,54.04000092,95,51.09000015,63.77000046,63.77000046,80886300
2021-02-08,72.41000366,72.66000366,58.02000046,60,60,25687300
2021-02-09,56.61000061,57,46.52000046,50.31000137,50.31000137,26843100
